Sample code,Depth (cm),Soil type,Mg,P,K,Ca,Ti,Li,Be,Al,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Cd,Cs,Ba,Tl,Pb,U
,,,(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg)
B4.9,90,ADE,811.8638656,2402.358472,1794.071906,2832.018703,1252.427102,8.649087882,0.4762455,56013.49524,97.20115029,52.16812198,450.4068598,41426.73151,1.923254035,9.164153323,23.09437175,90.03611875,6.136110415,0.666454494,13.75225345,64.2187201,1.162187459,0.092823415,1.249266346,1.3617938,178.4659814,0.153111523,10.16458569,2.121814911
B4.10,100,ADE,372.9849945,2091.168813,742.6756881,1246.134009,1757.106695,5.836989356,0.300397821,56509.11064,98.42281835,50.37962333,297.3543709,41921.2898,1.253712989,6.213235658,17.59985772,63.09384047,8.997329403,0.852652547,7.312503958,40.16433793,1.333802716,0.098973783,0.648446944,0.663043862,79.25167878,0.08318084,8.712265955,2.037575862
B5.1,10,ADE,366.6625779,1188.186668,584.6078335,1534.684503,1560.104113,3.05925564,0.204756734,31370.59973,61.74530646,39.1683805,382.5886482,26624.72566,1.151971384,3.673737887,11.3009853,44.40802371,5.476869247,0.885910781,8.295697101,27.514357,0.859941894,0.086858786,0.725061295,0.529649677,74.5866929,0.092423801,6.132182764,1.839986822
B5.2,20,ADE,375.095932,1337.544519,626.655058,1545.66332,1707.329514,3.284531273,0.220965296,34619.28971,67.62351479,42.03949941,395.5717202,28807.29872,1.409264532,4.499619141,11.174804,51.225428,5.843545609,0.941387857,8.583297997,28.84456241,0.970345402,0.083664312,0.836550199,0.575409729,80.41203706,0.102501967,6.80076052,1.934742616
B5.3,30,ADE,447.0299011,1957.961732,723.682015,1166.594344,1849.155661,4.024745006,0.285784786,55908.30793,91.66332374,50.86222807,368.8755814,39585.78288,1.360864597,5.202402297,14.45340527,54.19045155,8.288349816,0.996554431,8.103368463,34.87438473,1.347807405,0.102286501,0.84767182,0.765221579,90.77644567,0.095576714,8.264371794,2.272314905
B5.4,40,ADE,439.8654901,1949.934105,688.4584913,1004.510315,1891.070499,4.203983873,0.297205561,63678.84632,105.2599901,55.75663266,305.6694208,44951.50473,1.269373248,5.592701623,14.01466351,53.67446076,9.629176026,1.062508608,7.490056776,34.7047879,1.456281261,0.11516483,0.814536546,0.742894622,82.51447607,0.084935922,9.202848077,2.42304522
B5.5,50,ADE,434.9542116,2257.712723,701.6534404,1134.882521,2132.562252,4.180657933,0.296996932,68419.80122,117.1915833,61.54696038,316.9961398,49408.41859,1.365188987,6.028515045,13.69754344,56.00108505,10.6187266,1.128982241,7.590061819,37.21196128,1.678534218,0.10784159,0.856061253,0.665276607,94.04884518,0.085681591,9.831744554,2.282981894
B5.6,60,ADE,440.6394768,2192.604815,714.5332111,1317.677559,1899.381696,4.171110954,0.307169143,66105.90055,111.490472,58.41767932,290.4712278,47769.68699,1.30075107,6.700936803,14.91307906,59.37913716,10.24457413,1.061082886,7.86265677,38.73772288,1.509417824,0.097586666,0.922676468,0.694851366,98.00063864,0.083857201,9.493093318,2.04944642
B5.7,70,ADE,410.9346617,2183.044545,678.3679508,1326.393898,1901.263078,4.260051865,0.30389265,66030.92978,113.1938277,59.05015861,294.1135272,47413.09636,1.239693157,6.558901331,13.73250816,55.84093901,10.45630071,1.117482336,7.296537697,38.77521882,1.601452792,0.103396105,0.946471082,0.625866949,92.91213237,0.083011508,9.564724416,2.192615175
B5.8,80,ADE,372.5884865,2208.624558,603.6487066,1651.888148,1778.880613,3.84768781,0.277443229,66317.16651,109.6284853,56.61268804,271.8182384,46333.85976,1.158819425,5.478150046,15.04875226,57.72615185,10.10414898,1.049637186,6.636822845,42.02848407,1.497698154,0.090593187,1.085140352,0.579279359,102.208328,0.076885438,9.03670862,1.854105697
B5.9,90,ADE,421.1982089,2505.274945,775.1388147,1529.572245,1826.031991,4.372915918,0.326225354,68299.51069,116.4344602,60.17911962,245.1062614,48064.16006,1.270323882,5.62539989,12.91221183,51.67991606,10.80823043,1.145169564,7.865127636,42.28902843,1.60661762,0.093249429,0.830615901,0.703037095,99.76315278,0.079786753,9.595388921,2.130187247
B5.10,100,ADE,191.3047994,1808.279503,308.2980166,634.4233602,2087.792623,3.268904955,0.251738269,76977.95607,138.7984698,70.98350718,162.4761741,56159.03439,0.894409737,5.627479722,7.446662428,32.91148037,13.38726833,1.36407042,3.104579466,32.96319727,1.964510811,0.099901065,0.322298728,0.296541249,50.12267418,0.041688627,10.34996319,2.272024408
B6.1,10,Ulti,127.2746247,336.251691,120.8202041,389.4237659,1327.967525,1.276025099,0.103713142,36456.79706,65.29558477,33.1844178,98.82256608,26558.58911,0.506798497,2.481760078,1.901182103,5.195398575,6.213138476,1.080078651,0.655827028,14.91243832,0.795646864,0.053878476,0.062361301,0.054561732,10.72402101,0.01286457,5.014234943,1.468277819
B6.2,20,Ulti,115.5740059,363.6827229,107.7210779,115.8763377,1735.660862,1.532039202,0.158788389,51122.71547,84.82885453,44.35037185,109.738533,34600.78492,0.634463177,3.156280425,2.210608862,6.015253462,7.843302178,1.458197173,0.576171512,17.61144814,1.067413937,0.074310883,0.074579983,0.062948659,13.12173022,0.011341049,6.829925087,1.931475397
B6.3,30,Ulti,127.7831158,398.8140602,110.5793844,101.3512318,2136.882098,1.62918741,0.201992771,61774.07121,103.2894012,55.17970564,129.9521738,41747.60703,0.778455372,2.417339764,2.765920537,7.728988651,9.4198967,1.753013262,0.546576317,20.21951537,1.385811211,0.109992718,0.078966964,0.063687512,16.02635719,0.014287659,8.505290585,2.676838919
B6.4,40,Ulti,127.3578817,408.2657775,104.3355798,87.24524968,2219.910606,1.667179259,0.197460552,66403.07093,108.8011859,59.51329243,136.0809829,44474.73047,0.779155511,2.290846214,1.842410163,7.514351349,9.898110475,1.809280686,0.532779585,21.33633317,1.445667445,0.10762511,0.06928266,0.072802843,20.10072658,0.014867895,8.918254205,2.562065568
B6.5,50,Ulti,107.3051144,411.4293361,101.9273105,84.8974063,2080.3875,1.470950227,0.206934554,68820.55279,120.8406824,63.97879744,103.4866212,48558.18384,0.749350467,2.523598115,1.959392926,7.862807593,11.10293739,1.718191685,0.509009125,19.77707501,1.666787326,0.095865704,0.067290971,0.067459579,17.73151623,0.013845356,9.314644724,2.413763017
B6.6,60,Ulti,121.9992818,395.9054567,98.0092867,122.3441929,2228.1482,1.597556037,0.221743565,74245.9244,125.3161043,65.72322683,109.039505,50573.96203,0.738593341,2.522827486,2.161313786,7.198678692,11.61745982,1.71361482,0.471611625,22.1749799,1.68709735,0.099462285,0.067308889,0.069460909,18.20031042,0.014856176,9.669637869,2.517545877
B6.7,70,Ulti,102.1721813,354.4752245,93.52725832,83.37688581,2018.550834,1.416365018,0.185562842,67580.05163,118.3621867,62.35800896,87.55015888,47149.37957,0.651747888,3.378014125,1.862953233,6.933199218,10.93084102,1.580737349,0.444765728,20.28100981,1.617076682,0.091718162,0.068332664,0.064270339,17.47423697,0.014069126,9.243823813,2.313933511
B6.8,80,Ulti,120.0967641,366.495656,96.89191599,109.711351,2172.578693,1.460818811,0.206864784,77471.87143,125.7913353,65.95996144,94.46919989,50942.99771,0.706218868,2.495272239,1.359303548,6.454476466,11.59815155,1.679303353,0.473783609,23.2535933,1.700968126,0.100122975,0.060893802,0.071234911,19.09023681,0.01506613,9.72427553,2.471930629
B6.9,90,Ulti,119.5589222,370.7668234,137.3139003,113.100706,2218.697475,1.532632586,0.222907166,79343.45862,129.3674846,67.95856112,98.52062284,52058.99703,0.719494942,2.458382672,2.597853883,8.113693844,12.16159015,1.659213996,0.494418775,23.38223165,1.771988822,0.102022913,0.068235308,0.074455472,19.6438643,0.016655147,10.03018107,2.561725344
B6.10,100,Ulti,118.1391173,339.3308654,103.6366966,97.94242764,2185.983029,1.460761248,0.211754701,80792.68662,129.1097091,67.4866891,97.84891461,52115.08852,0.736170636,3.382290556,2.171879987,7.6963565,11.94459107,1.576791184,0.510298329,23.55323591,1.75985677,0.104033752,0.063199536,0.071653484,19.57011093,0.016366428,10.21836496,2.528209184
B7.1,10,Ulti,79.29879708,338.7133287,112.3591595,61.92670218,1661.293522,1.362502656,0.147750692,46180.36438,86.69445246,46.06529955,99.90006078,34656.03256,0.583376536,5.168799201,1.287475085,5.480221635,7.966006889,1.460576501,0.529747368,14.29912033,1.092204318,0.077511566,0.058017187,0.059825753,13.21699155,0.012639935,7.36181459,1.795189556
B7.2,20,Ulti,105.784093,356.9475559,117.8142472,72.7077784,1942.918123,1.517673507,0.162335602,58237.41819,98.13156893,51.99366918,118.1681834,39774.96525,0.678077444,2.129930502,1.184236781,6.177455895,9.131108265,1.639306193,0.575373741,18.43334714,1.29649746,0.090023007,0.065969404,0.061890606,15.05396229,0.013597392,8.685180746,2.17465741
B7.3,30,Ulti,110.7341948,372.6052724,119.4383412,75.00523529,1990.315292,1.548436294,0.189166397,61293.95171,104.4595455,55.84334076,109.6529919,41885.43074,0.679577808,2.327204191,1.407383399,6.311802426,9.781660523,1.730249346,0.566587739,19.14386697,1.351417914,0.092411024,0.067543455,0.069091924,15.70265722,0.013813858,9.095371383,2.323958204
B7.4,40,Ulti,106.7575071,380.8833483,118.0094604,66.11107349,2077.637324,1.529013757,0.199426076,64012.10728,109.7497227,58.29089253,110.4325048,44093.43979,0.715387539,3.020054509,1.312983959,7.98739844,10.06812534,1.827846161,0.573713236,19.60458631,1.427234652,0.100991849,0.061868499,0.071709241,16.97100269,0.015467574,9.075512208,2.376914503
B7.5,50,Ulti,116.4722179,390.9051559,117.4813087,71.70062789,2207.789357,1.537949723,0.213075053,73274.12586,122.1698466,63.97999598,108.2428842,48851.5039,0.749556519,2.567165125,1.468021363,6.768499588,11.1515388,1.752495603,0.576966287,21.30988896,1.586481971,0.104880141,0.062671145,0.068654987,17.97302225,0.015615804,9.707866437,2.466793014
B7.6,60,Ulti,121.0039869,398.198994,113.7433783,73.24729431,2259.556077,1.458907634,0.220145536,81520.48037,130.2590095,68.27248219,106.0045275,52735.38185,0.748783629,3.364664437,1.684275649,7.363077035,11.84442414,1.741593602,0.570677533,23.31756932,1.662581999,0.108234451,0.06164367,0.074616971,19.41226069,0.015197251,10.33433969,2.580485868
B7.7,70,Ulti,95.79337145,357.1612284,109.0196309,61.05486911,2050.972854,1.424670373,0.216722342,71360.32932,123.0113562,64.3242278,92.17863295,48989.45436,0.704110181,4.335888605,1.585928721,6.796487908,11.29317811,1.622414259,0.505917271,19.75741788,1.604355622,0.090040907,0.057948307,0.069011525,18.11984955,0.015258673,9.622386441,2.296651866
B7.8,80,Ulti,102.9689518,357.9629287,108.1855489,68.43325349,2169.177786,1.46082798,0.228142497,75509.30958,129.9225242,67.95007501,94.320343,51589.75864,0.707118504,2.87652094,1.435065398,7.058406578,12.01202448,1.675925242,0.516642739,20.91647338,1.739508871,0.101400576,0.069818827,0.066066075,19.41597716,0.016470059,10.34629761,2.503398878
B7.9,90,Ulti,93.71390435,368.1157933,109.4031994,56.86157223,2164.792301,1.42752785,0.223184522,69029.98396,128.4111932,67.80330867,92.25696938,50020.43342,0.715580567,2.908342155,1.588720888,7.057372286,11.69903502,1.717911919,0.519782014,19.15874031,1.716712836,0.095876515,0.068430871,0.061949665,18.69764518,0.016992135,10.3333253,2.446923685
B7.10,100,Ulti,106.3599541,356.7597624,107.6797057,68.12065994,2196.39282,1.439948801,0.232262957,81135.25101,131.905482,69.38042609,82.584473,52889.48089,0.699623161,2.992475648,1.559103214,6.437602659,12.46691371,1.624822871,0.482486388,22.56470622,1.749232471,0.093846594,0.057674334,0.067021899,19.40033981,0.015722242,10.45025542,2.375062608
B8.1,10,Ulti,104.0134645,400.8561834,151.488124,113.6044847,2040.091823,1.368471504,0.204489434,67759.62107,112.1668644,59.30912513,103.4130853,45100.79008,0.721692596,3.479746359,1.588311799,7.112162509,10.39250816,1.776892704,0.718873293,19.56350414,1.447101629,0.10992277,0.078471518,0.078050127,17.57317485,0.017375109,9.67467041,2.527085762
B8.2,20,Ulti,126.9457909,418.6766575,158.5813917,86.62227172,2237.05641,1.406425258,0.223428856,78762.87637,123.770949,65.15458508,119.3663216,49908.12068,0.774830077,2.585070487,1.588044624,8.654748287,11.29394584,1.926935795,0.77691458,22.72812958,1.543304876,0.11231446,0.085143234,0.089462067,19.88804456,0.01848363,10.64505886,2.681470669
B8.3,30,Ulti,104.8890487,397.7772099,153.4290464,69.00930755,2149.661446,1.401268783,0.234096347,73528.72401,121.5577384,63.27668158,112.3775209,48793.51256,0.757442109,3.55092509,1.608911464,7.657860226,11.18088506,1.906926563,0.731865349,20.30234934,1.552396617,0.117488967,0.081359884,0.069972791,19.40690424,0.020079189,10.67326213,2.528623048
B8.4,40,Ulti,107.9424617,422.2602128,156.4744894,72.63518892,2275.361147,1.513120102,0.248241915,74758.15345,125.786404,65.90549474,113.6881075,50305.053,0.780297378,2.625798762,1.695000634,7.727321356,11.57117363,1.916447656,0.738556489,20.62340949,1.636062823,0.121586447,0.080231031,0.084649506,19.77657516,0.019359111,10.83327909,2.628008367
B8.5,50,Ulti,94.72916981,404.8393329,143.6550795,52.88402595,2134.355918,1.417465942,0.220199972,69842.16021,120.8896784,63.74436116,106.1051328,47963.25294,0.744461719,4.747677916,1.80717991,7.444253828,11.09611552,1.855764877,0.718176382,19.14563781,1.519199119,0.101348461,0.067299897,0.075800946,18.59088569,0.01826933,10.34999415,2.43225835
B8.6,60,Ulti,117.5544108,408.7510855,145.7075058,94.95785935,2225.532121,1.383535715,0.231163628,78606.60808,124.457343,67.85969555,125.776688,50587.58054,0.806663895,2.689424859,1.298200303,7.156832802,11.71012576,1.869424637,0.710084667,22.15827301,1.587475731,0.104713995,0.062735857,0.080660278,19.46340733,0.016828114,10.70420832,2.419495362
