Sample code,Depth (cm),Soil type,Mg,P,K,Ca,Ti,Li,Be,Al,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Cd,Cs,Ba,Tl,Pb,U
,,,(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg)
B9.10,100,Ulti,85.77130406,150.8217793,141.0477473,80.59690321,2428.903115,0.849526662,0.181519968,77727.55654,105.5934053,55.13104392,85.28174509,56070.64485,0.524276688,1.560534599,1.854240445,8.009062562,10.11408524,1.412892728,0.932788911,23.20039655,1.557824632,0.159673298,0.087378866,0.103255122,23.82461174,0.011708334,7.817797815,1.727896769
B10.1,10,Ulti,68.70565978,161.5016987,142.7893056,64.55135209,1381.432518,0.761025188,0.111122978,41143.07758,68.95228923,35.66522853,72.38296221,41140.45079,0.371982627,1.249156289,1.528398714,4.701099386,6.495291108,1.265506701,1.006032885,13.01745054,0.828429289,0.048252868,0.060348207,0.088811786,13.86849655,0.009174042,5.028208654,0.997010518
B10.2,20,Ulti,82.21218788,161.4398382,194.3191647,69.97760045,1676.322073,0.766375062,0.137718944,51874.54245,87.98810736,45.1459749,84.05471825,52778.5861,0.433212213,1.48583374,1.642311574,5.035894327,8.156573617,1.686615469,1.376333489,16.84219615,1.101305527,0.094480314,0.074123865,0.127608715,20.29943763,0.012105948,6.737954117,1.355642113
B10.3,30,Ulti,88.91304112,189.3289902,127.4061594,85.98971416,2064.136935,0.850045135,0.138678509,55372.94984,83.69690739,42.34236977,105.0871663,45490.74379,0.498972436,0.677070871,1.318954478,7.34562825,7.463325533,1.438552351,0.884419249,17.69058907,1.171473925,0.071354549,0.088070295,0.09335832,19.55416988,0.010489797,5.968156577,1.446918737
B10.4,40,Ulti,91.80344701,179.4506143,120.5748237,83.45315871,2005.741961,0.797310337,0.143957542,60861.17234,86.93534099,44.22889356,82.87429679,46894.28555,0.45794764,0.895891646,1.256518328,6.549964703,7.873237781,1.509348759,0.871714867,19.47613157,1.218284106,0.054673041,0.102037749,0.08834795,18.61672842,0.010356556,6.155738465,1.395210298
B10.5,50,Ulti,96.82673931,185.8565432,131.7885244,93.88113452,2106.069494,0.827372058,0.15211694,65059.35516,92.48156609,47.02573709,88.42252501,50171.15323,0.499546433,1.038703207,1.539611858,7.196309928,8.384907436,1.593728573,0.946026263,20.70910606,1.328671969,0.08273606,0.089838906,0.098533734,20.08580106,0.011909714,6.675401173,1.543906779
B10.6,60,Ulti,95.38601401,160.1648486,164.6480318,81.85784901,2178.868926,0.843519557,0.165736257,67638.91865,100.7865253,50.85571587,91.68066419,55138.11433,0.513384471,1.425610716,1.759415807,6.797160059,9.065695441,1.627115317,1.183791705,21.23785884,1.398105143,0.081009184,0.09880386,0.105335913,21.78190707,0.01316217,7.277743568,1.644944492
B10.7,70,Ulti,91.76969036,153.1334949,197.0786077,70.46964613,2060.141346,0.849170888,0.174284877,67175.18647,103.7030511,51.64217867,73.4744675,57402.55135,0.446189682,1.082178552,1.944100959,6.050399822,9.378039998,1.588067852,1.340915211,21.99597414,1.386938669,0.045699902,0.069267822,0.120049195,23.09471717,0.01303832,7.394156765,1.640196172
B10.8,80,Ulti,90.35694566,131.5363521,224.1372028,82.61875352,2137.631777,0.815129314,0.169648232,67612.34123,107.8711214,53.58747899,77.496262,58888.07299,0.466418386,1.002054723,1.869546688,5.696111571,9.999447402,1.500509323,1.508893183,21.98438468,1.412833925,0.042795769,0.086050833,0.132364786,24.92225083,0.014016204,7.809545767,1.577751085
B10.9,90,Ulti,83.85196319,132.0495365,502.8202284,65.96062705,2210.562132,0.817957758,0.178350957,67094.05699,105.7479502,51.94080077,85.81295073,57835.3867,0.51388542,0.908254881,1.898462529,6.43557093,9.74941204,1.429724868,1.521628182,21.04825543,1.363026556,0.06430045,0.087310493,0.125280713,25.00318709,0.015047099,8.003211014,1.63317046
B10.10,100,Ulti,79.84851002,125.2532781,228.4869803,51.08366967,2081.718764,0.808779572,0.167478346,66210.45448,103.0313097,50.05048821,79.21467322,55706.68225,0.482440008,1.180391382,1.433265314,5.525901408,9.227843886,1.31731882,1.580825175,20.76270298,1.355313704,0.055657207,0.070517672,0.124691343,25.53008641,0.014132521,7.891179587,1.589636106
C1.1,10,ADE,446.0953866,1031.537936,543.9625847,2007.756064,1687.878282,2.756790496,0.180743491,34434.02038,53.77205059,30.36241046,405.7091729,30710.80552,1.197659873,3.70608241,14.79406073,61.04330531,4.226014476,0.952525303,7.903337847,33.94114831,1.03300052,-0.034414635,1.028048161,0.928584915,119.1486103,0.075252554,4.051673013,1.166353914
C1.2,20,ADE,446.0276119,1256.447015,648.9332869,1639.409142,1859.461267,3.278500163,0.219863271,41466.68227,62.21166382,35.85487698,428.4392478,34805.38306,1.40178442,7.556187237,18.19852364,71.23413402,5.160589299,1.020508823,8.847185338,35.66615213,1.077318438,-0.018223696,1.221673989,1.089499602,150.4876646,0.083784328,4.551867061,1.289171775
C1.3,30,ADE,440.0207663,1684.073962,681.5568351,2185.174942,1949.100197,3.654087167,0.244370662,48389.15776,70.07603378,39.61377295,395.7141405,39280.32954,1.415129846,9.220562576,19.46527957,76.67502316,5.638238823,0.916005236,9.227295737,43.14762428,1.197833496,-0.012270735,1.356433819,1.116091337,188.8174629,0.080732331,5.05202694,1.377940969
C1.4,40,ADE,368.4428742,1528.988623,626.4571019,1871.868108,1928.611326,3.33414579,0.228684241,50533.72918,75.19088454,41.19764194,308.4940737,41747.46538,1.240586079,5.398838076,18.12160782,68.20986987,6.349461653,0.893171117,7.976884306,41.91997234,1.337657396,0.020314036,1.238657466,1.011548604,170.0708581,0.070725236,5.253899299,1.40081052
C1.5,50,ADE,305.1639354,1424.320766,488.6451637,1781.206245,1995.827763,2.857445388,0.202179005,52894.69597,78.66842966,42.25401904,229.7655242,42985.97701,1.00740411,4.300454546,14.88409952,56.54766232,6.616264893,0.899262445,6.835394776,40.66444019,1.327519976,-0.014846814,0.969106937,0.858982425,133.3766027,0.057766883,5.007528889,1.384443095
C1.6,60,ADE,277.0153568,1213.064724,456.9511587,1301.851749,2318.492332,2.594685867,0.205157418,61284.24353,91.41328537,48.4262383,191.6896349,48462.46148,0.950447026,3.92762433,13.22568357,49.18702836,7.676086952,1.031192573,6.844967779,40.61124514,1.528000601,0.01065494,0.781736707,0.857651651,116.7908568,0.053913453,5.587085066,1.641077829
C1.7,70,ADE,226.6424163,1075.606716,342.2563058,1076.626625,2311.530563,2.187959709,0.183811736,59481.64522,91.18184132,47.49990439,173.507485,47997.74112,0.799795161,3.272252464,10.00586202,39.90037592,7.764756644,1.038565051,5.42779974,36.07702104,1.524848848,0.02535934,0.642146582,0.688653659,88.6806519,0.043286395,5.419681342,1.595946491
C.18,80,ADE,140.7131433,799.9909389,178.6583682,625.5883944,2095.738796,1.515693854,0.144288725,59634.89871,92.87881368,47.01534702,104.4694433,48223.5835,0.531347991,2.099357685,5.310651707,22.81516162,8.122629816,1.041141961,3.620950031,29.0260641,1.492715061,-0.007916001,0.30616029,0.394603985,47.2595389,0.02734389,4.928870476,1.460459239
C1.9,90,ADE,151.2082271,908.8906169,191.9354424,656.0553439,2233.972492,1.575152441,0.159698262,62876.47776,99.96647011,50.57172736,113.2600648,51766.7522,0.621869528,2.29248229,5.771888067,23.8879744,9.001494145,1.178488073,3.175642922,30.24015484,1.707972288,0.015105013,0.346209993,0.355113346,51.91630614,0.028661637,5.456077038,1.544833993
C1.10,100,ADE,115.1743263,833.6889543,117.5884317,455.7934353,2364.668218,1.272933401,0.151813577,67366.44177,106.1815551,55.36129941,89.68260553,54342.58877,0.493722693,2.150377375,3.627198844,16.22292338,9.989986618,1.255451677,2.263338819,29.0994457,1.884614495,0.005578695,0.212746156,0.232326331,35.4284544,0.020006678,5.579904357,1.578626922
C2.1,10,ADE,275.2999904,758.6231522,427.0066135,1485.10569,1546.675794,2.214151529,0.139839595,30244.73123,48.31469798,26.66969115,324.1551053,26801.94768,0.951257161,2.364965182,9.849381435,44.0320553,3.787338601,0.828887027,5.40636127,25.71219619,0.830730543,-0.054740179,0.610357649,0.744668365,77.32698323,0.061715365,3.622230179,1.081832554
C2.2,20,ADE,322.1154365,956.2114358,494.3104025,1233.723,2054.980469,2.52266939,0.190251188,39318.35545,59.55456105,34.44065214,359.0939066,32917.5417,1.069346294,2.91221806,11.29597913,51.37553591,4.660167786,0.956256907,6.265871658,27.92042487,1.010331833,0.016724339,0.781496819,0.865457477,88.49897894,0.076246838,4.426953221,1.407886951
C2.3,30,ADE,344.5145826,1258.693806,606.9796886,1049.688956,1942.851666,2.896847928,0.207347873,44132.83304,64.13390148,36.57595574,325.9542969,35840.83112,1.144388651,3.293258981,14.38309763,56.50610623,5.310994378,0.839994021,7.88516617,28.79389717,1.105576942,-0.037761249,0.867620683,0.962046182,106.1449902,0.069149578,4.506948396,1.414851037
C2.4,40,ADE,432.9303313,2071.455722,855.1977316,1778.392476,2157.540613,3.556437952,0.258672754,52801.19561,76.01651931,43.1317331,357.0358853,42011.70773,1.438895912,4.585519184,17.52846317,68.51136306,6.19981651,0.884608513,10.44025244,39.11372097,1.318757792,-0.011325699,1.180828341,1.225321019,149.1424652,0.078979269,5.600989206,1.466172271
C2.5,50,ADE,378.5922511,1790.868688,765.8242758,1714.076835,1833.97683,3.378492721,0.237581824,47100.31139,72.4942174,39.6393761,333.662256,39596.67299,1.345916551,4.776087602,15.78036597,61.31441688,5.776615436,0.782690656,9.290020262,36.74489693,1.260862834,0.014893114,1.041815815,1.13996074,119.2293276,0.075034639,5.137067158,1.337948659
C2.6,60,ADE,411.6868193,1818.225196,840.3930379,1896.339325,2000.908631,3.749498355,0.247852973,51538.41865,80.01410691,42.66746262,356.495438,42746.55325,1.410381633,4.911315254,17.22418585,65.77188947,6.506643605,0.833900055,10.1442967,41.37177704,1.383176855,0.010929242,1.10390557,1.24030355,124.0098704,0.080423744,5.64450812,1.471655285
C2.7,70,ADE,405.6295635,1702.035991,837.0506957,1828.06872,1981.884716,3.633425494,0.236853627,51756.4123,77.96764621,41.67322256,338.3512504,42160.73543,1.392460657,4.592467635,15.5213776,62.88400429,6.631260092,0.808606149,10.0815356,40.26270123,1.238506056,6.30565E-05,0.974483749,1.166081245,109.3090974,0.073462532,5.155972028,1.612968186
C2.8,80,ADE,439.8393981,1569.501607,945.8960704,1675.612976,1963.142285,3.775931061,0.249564891,52990.75028,79.99885079,41.94485888,317.0218291,42441.16635,1.419092596,4.611808374,15.6689968,61.95529327,6.571357166,0.819331643,10.86552479,41.11739482,1.327796023,-0.015580221,0.889334905,1.192859562,108.6214251,0.072766112,5.235523287,1.336555689
C2.9,90,ADE,424.7227779,1441.077436,912.1161254,1418.571622,2019.323071,3.755888348,0.252774758,55809.42317,83.69338544,44.32693174,265.1860904,45207.64206,1.305550044,4.274531906,13.08753441,55.46248803,6.88873679,0.895638045,10.27011004,37.94254473,1.420103694,-0.026034543,0.797797586,1.173406217,101.6704712,0.07064554,5.507580241,1.411047812
C2.10,100,ADE,328.8374886,1312.577802,686.1228718,947.8504611,2141.259476,3.071708481,0.221133241,57643.18488,90.62697752,47.26708422,189.7489088,47213.35173,1.109816626,3.654812416,9.639671034,44.80015036,7.546883249,0.948722579,8.021155842,33.36374836,1.515316547,0.001879323,0.554969023,0.898256926,78.56820635,0.052931701,5.615048433,1.497934627
C3.1,10,ADE,262.3016461,756.0448093,322.4905355,2595.914674,1469.17077,1.800116643,0.130538379,29317.88328,48.41060215,28.98553097,314.2753398,26818.25196,0.754492014,1.922225509,8.524883921,35.68780345,3.941124227,0.880432538,4.528527891,31.80210687,0.819980338,-0.026142043,0.585503959,0.6111234,70.81649472,0.0500192,3.552406912,1.158463888
C3.2,20,ADE,262.0141123,816.4088104,349.6804686,1770.760692,1781.863865,1.93967913,0.144528862,34122.915,53.35059851,31.31682213,331.4103455,29531.3911,0.866815973,3.33877643,8.956814166,38.90145674,4.314261252,0.924496261,4.822389464,28.11818476,0.932496544,-0.001695478,0.666433187,0.715081446,68.00479504,0.056699886,3.875122734,1.294790626
C3.3,30,ADE,248.304748,807.8632301,353.7511775,1104.276423,1990.976537,2.048195369,0.141096243,37738.1536,58.47056818,33.29409125,255.2471202,32498.97775,0.865173118,4.974752519,9.590766062,36.16747804,4.756254186,0.843860843,4.601733311,24.19327274,0.977563513,-0.05745687,0.527999501,0.651551979,56.68567554,0.048492951,3.769520451,1.254660822
C3.4,40,ADE,243.3182385,971.1890355,349.9180424,931.6312149,2061.699952,2.02046655,0.163127566,46231.544,69.03297803,39.10423402,210.8117638,37682.98475,0.775014594,2.092249238,9.20148914,32.45378268,5.617671545,0.912821264,4.676296361,26.93137563,1.324194076,-0.007992958,0.51916279,0.682745818,62.33004216,0.050814815,4.325493348,1.43088954
C3.5,50,ADE,175.8860675,1039.890314,270.026959,609.7757284,2005.709367,1.659811785,0.144973347,49957.93467,75.89655506,40.58765511,141.9538126,40875.68414,0.642369489,1.955303759,7.710214458,23.64582972,6.389506608,0.937733752,4.312723266,25.4505957,1.347868339,0.037970634,0.333252547,0.566212213,49.86424827,0.037461842,4.580528417,1.377074292
C3.6,60,ADE,166.5255611,1036.033399,233.4368613,528.9876247,2130.858479,1.538997904,0.145268189,51915.16171,80.82303595,43.19969437,123.1870652,42414.69551,0.59274253,2.115446446,7.20533778,21.28151992,6.833082822,0.964798155,4.154947313,25.08021152,1.460840621,0.004648019,0.295368388,0.539278749,44.97209752,0.0331589,4.627646056,1.367463054
C3.7,70,ADE,126.2649079,950.5108631,149.0544142,382.7588508,1896.645604,1.26710864,0.110041185,48066.3207,75.48578911,39.52029364,98.75206487,40332.65435,0.420630978,1.369573215,4.809098081,13.58577631,6.590089952,0.837684849,3.432891751,21.7203765,1.264767206,-0.057318935,0.146624194,0.383057637,35.54831033,0.024188687,4.093054223,1.17961354
C3.8,80,ADE,138.4327664,1081.93551,157.0475003,383.7643695,2129.510819,1.343808401,0.12400729,56951.35063,86.77904289,44.84597757,102.8193154,45428.29212,0.48744866,1.609450854,4.904920137,14.17488291,7.261973427,0.948763584,4.052326593,24.87737172,1.491867447,-0.01476334,0.132112542,0.40526889,34.35905859,0.027401677,4.748062749,1.371564065
C3.9,90,ADE,86.93734058,835.2122924,75.31522754,272.6140873,2059.781268,1.010843532,0.123528898,60351.8394,96.86997876,49.26369021,66.04354526,49442.93197,0.391270678,1.558520784,2.834556238,9.66725153,8.198446989,1.053013188,1.481584246,22.44242696,1.807584303,-0.001120427,0.084381304,0.126876861,23.97515035,0.012714581,5.084292511,1.404030748
C3.10,100,ADE,104.5468737,883.8992152,73.95086208,317.3834487,2258.588147,1.004250119,0.117751363,69089.08054,105.5267678,53.7157443,62.92581106,54036.6603,0.394903524,1.51569687,2.329788138,9.765312083,9.254571192,1.143796771,1.711030057,27.86525246,1.968164243,-0.032818282,0.074135753,0.1381506,25.20189077,0.012373989,6.210573143,1.446293187
C4.1,10,ADE,255.8759285,751.7367805,320.8542147,1075.306292,1762.312705,1.804912481,0.121071563,31269.74615,51.1407124,28.57261503,288.9416374,27586.88635,0.784717498,1.903820865,9.580171499,36.71263933,4.08544512,0.826492841,4.955802731,22.89235439,0.86731621,-0.051414861,0.571373601,0.615209701,60.76595171,0.047454392,3.908114593,1.28461645
C4.2,20,ADE,225.7712344,737.3084537,312.2388957,724.3543219,1822.398048,1.663946489,0.130312992,32710.1364,51.83394687,29.48905699,300.3402613,28981.27778,0.821936468,5.88449412,7.850062117,32.68663256,3.804809222,0.790963849,4.439840747,20.6759085,0.903767191,-0.01349462,0.592908033,0.600753794,55.56887434,0.045923392,3.731921938,1.27062563
C4.3,30,ADE,254.3479555,1025.904901,378.0139016,622.4847067,2002.319573,2.015184098,0.163438333,44703.79053,67.61797172,36.97341853,237.1496446,36867.6291,0.843862533,2.921439501,9.067060679,33.01863467,5.450383142,0.837290024,5.203594026,23.85544498,1.131406918,-0.045824067,0.53717798,0.652991129,61.80491101,0.042387016,4.262414673,1.286841414
C4.4,40,ADE,244.1983593,1259.334277,395.3581377,660.8654438,1942.709411,2.077060912,0.165589941,50272.66944,77.02537385,41.67496745,205.1623752,41329.7995,0.834719678,2.807950908,9.597406004,33.89866938,6.383423779,0.889383139,5.55555137,25.46340759,1.366721524,-0.010679043,0.59191081,0.704946789,74.23854379,0.041076766,4.841478823,1.371346924
C4.5,50,ADE,246.7152075,1390.747004,401.6664221,741.9632063,2151.418472,2.178982951,0.164710556,53331.66874,82.74749082,43.83390077,233.8097544,44164.86221,0.909338982,4.108291409,11.8766022,35.97562759,7.012056392,0.907113903,5.999509074,27.20134526,1.440454814,-0.028945703,0.658641076,0.726691013,74.96036312,0.04242327,4.985496813,1.390074541
C4.6,60,ADE,226.0013873,1370.96514,362.7034069,720.534292,1950.848477,2.057889179,0.168204686,51606.89894,80.08119649,42.25849775,225.3696147,42608.39982,0.844733187,3.414929297,11.73948553,33.7926338,6.919102803,0.896099772,5.404160156,26.07731894,1.416394025,-0.029501783,0.70627702,0.64889748,72.39453607,0.045121693,4.659533673,1.339680866
C4.7,70,ADE,205.8354464,1153.926559,319.294219,618.8719677,1881.763649,1.776292154,0.152705937,50777.07356,78.04832259,41.09334211,186.4352143,41762.43178,0.749329612,2.519989444,8.998297456,30.01052638,6.555967073,0.888726859,4.701812909,24.53199475,1.350401033,-0.025115382,0.547301534,0.577372618,61.42829846,0.035188369,4.586305744,1.485464211
C4.8,80,ADE,173.0365034,1035.642932,260.9246227,423.0453101,1916.977134,1.639780241,0.146971228,59474.40435,90.30223339,46.40643144,146.6645258,47373.86022,0.751291596,2.365172725,6.975573429,23.19392539,7.705289144,1.024406751,3.938193381,25.78623251,1.656464902,-0.015960921,0.367813058,0.488242597,47.42252967,0.030640733,5.127436349,1.33148265
C4.9,90,ADE,178.8236123,1039.372861,273.0457018,502.3144138,2279.949507,1.644613537,0.144762641,65375.25842,100.6476671,51.59952396,136.7855976,51822.59217,0.670176032,2.555677589,6.468786542,24.05937934,8.367762957,1.110318993,3.556786718,27.69225161,1.825536434,-0.02071073,0.328549562,0.442910177,46.32538126,0.026733277,5.512934721,1.476662414
C4.10,100,ADE,109.6778904,873.3809197,93.74187554,302.4635587,2390.566004,1.233033914,0.128964582,73586.70143,113.4809288,58.53931431,71.76590212,57141.59637,0.447314001,2.276797917,3.68066953,15.08431161,9.444147937,1.241720728,1.541712538,28.8266764,2.159651548,0.015000261,0.160593095,0.182035706,30.41002948,0.014338785,6.004344423,1.591357145
C5.1,10,ADE,344.5771508,797.3970527,330.0865349,2014.312091,1803.697001,1.942416977,0.126225861,30920.653,52.6415524,29.89999312,328.0280676,28648.18772,0.84424446,2.153116137,9.866787913,45.25427239,4.015687998,0.888217368,5.564431675,30.17751513,0.920286768,-0.061458389,0.936624582,0.670494164,88.15684156,0.056396475,3.631615898,1.180910961
C5.2,20,ADE,280.3625947,794.8138549,310.8119896,1051.316877,1933.227774,1.90599427,0.137395958,33713.31923,54.50117641,31.29601548,302.9442446,29849.67159,0.856118972,3.208678049,9.369511683,41.79808137,4.24261251,0.846544673,5.050719508,24.91719697,0.926644966,-0.02521819,0.759310657,0.629394223,61.98416607,0.051388811,3.814338135,1.286711994
C5.3,30,ADE,257.2076196,810.0210105,305.6719078,846.8937203,1899.239348,1.765304511,0.128773063,37881.71883,59.23974536,34.06440941,239.6958753,32206.30256,0.770991777,2.320672323,7.821614853,34.37034051,4.622966416,0.780022764,4.435328278,23.9765097,1.010966045,-0.043941253,0.586965683,0.545670824,51.74030527,0.042859485,3.683980608,1.24325708
C5.4,40,ADE,225.8127335,858.2856671,281.6963847,583.1573528,2062.165736,1.805369013,0.144563005,47929.39305,73.86164821,40.60898314,198.7603702,40204.85034,0.766722176,2.84694549,9.639237695,31.81429061,5.913665842,0.822657011,4.161317839,24.38399221,1.277664172,-0.039071892,0.511746264,0.519980168,42.18068468,0.034049508,4.362304771,1.313106061
C5.5,50,ADE,186.392871,871.5630485,220.4787494,496.6687342,2136.921952,1.646563905,0.141923544,57256.99603,85.92558861,45.42803871,149.4066414,46330.13391,0.671710784,2.896477984,7.93112133,27.7602186,6.886682681,0.954251797,3.783284959,26.48594309,1.510451897,-0.039557438,0.478683245,0.505999366,37.58349959,0.02861567,4.906699419,1.400431712
C5.6,60,ADE,151.3061569,770.5204247,158.9300014,408.9108337,2054.795857,1.389408439,0.129381098,58010.41383,88.06052612,45.91312937,115.6216528,47237.58302,0.575784639,4.026866108,5.780035711,22.48251424,7.291065194,0.943547329,2.896762233,24.9382001,1.528825362,-0.05152373,0.331602257,0.361401086,30.49660394,0.021593293,4.643952057,1.263677906
C5.7,70,ADE,146.6251111,819.312975,161.0762613,395.5850242,2093.680345,1.36048609,0.140696968,59862.55751,92.98049405,47.67426379,107.8581177,47660.3832,0.541460532,3.314495431,5.994883943,21.6485347,7.430534396,0.993228256,2.882193385,25.81667462,1.65564887,0.002047191,0.352764064,0.383210946,33.1966894,0.024146802,5.132816682,1.459059312
C5.8,80,ADE,122.973572,744.0366838,115.8078578,311.0724849,2270.767656,1.16213093,0.123209989,64609.93959,100.5708419,51.85434179,94.53744485,51387.42098,0.491701226,1.961398765,4.40510274,17.71972054,8.069642855,1.047078209,1.922598955,25.70070242,1.817815829,-0.004522901,0.217414111,0.251559234,27.55622573,0.017312886,5.327744617,1.42935647
C5.9,90,ADE,124.4158101,743.9378979,117.46986,329.7986615,2097.229823,1.136110243,0.120184806,63146.21832,97.36051505,49.78047103,83.53520664,49810.7845,0.440030342,2.171185715,4.201573038,17.76186497,8.008254469,1.030410181,1.927551927,25.43994605,1.715554533,-0.030867589,0.220270207,0.261156256,29.00274104,0.017822632,5.123727651,1.401045366
C5.10,100,ADE,117.4854194,732.7185639,105.2172648,318.494167,2265.85674,1.008373207,0.123730872,68031.02861,105.3423056,54.27454422,80.484744,53614.22135,0.466969876,3.008857032,3.418896623,16.68584711,8.733073376,1.067642805,1.662326762,27.18629406,1.886551793,-0.018644524,0.209876577,0.219730918,47.45864645,0.016469717,5.481054014,1.433326658
C6.1,10,Ulti,87.01626829,193.0811274,72.57357613,95.13742774,1918.935905,0.976715928,0.074853512,36231.80542,62.52303409,33.61902205,93.94542498,31603.50037,0.374292885,0.481629378,0.857968438,7.901534458,5.156208567,1.080169472,0.500074072,14.67940789,0.959590422,-0.045352189,0.0748449,0.069725931,10.81781058,0.007610285,3.640715784,1.161990057
C6.2,20,Ulti,98.41981176,265.9587399,99.73428721,96.06276535,1953.361407,1.155447888,0.110141447,43949.42019,65.76939883,34.99640232,104.2313029,32733.54209,0.560258398,0.914766416,1.532141193,7.916799788,5.261204142,1.235661726,0.492968074,15.08707355,1.041497649,0.129884151,0.060382233,0.069300645,10.25484072,0.009481713,3.888531014,1.028160268
C6.3,30,Ulti,108.051366,275.8337309,95.87238481,80.98767521,2220.213775,1.240180179,0.12641398,51605.43467,75.222082,41.67445324,113.4303994,37591.95553,0.665555622,0.954522251,0.951745633,9.159380891,6.080936177,1.443437719,0.55786443,17.54111398,1.187352166,0.142195689,0.072051816,0.078998351,12.6700271,0.010700254,4.503977892,1.286004814
C6.4,40,Ulti,105.6888934,275.9680606,92.43622228,70.36917104,2128.193233,1.308422612,0.133365838,51672.62932,74.18241907,40.99611601,93.78684363,36966.58127,0.612771776,0.695926384,1.180711668,11.60532108,6.061705381,1.365401363,0.584731072,17.84476588,1.1606763,0.093722765,0.070529833,0.080842626,12.67688045,0.009450824,4.413268384,1.236055482
C6.5,50,Ulti,108.3600314,283.6871547,91.57194025,63.93038499,2244.242498,1.344706665,0.134165112,55779.52035,80.78909058,43.51694323,93.62681086,39845.08361,0.612063105,0.753609095,1.03496851,11.57421276,6.314316915,1.147877762,0.611921315,19.23470063,1.253627579,0.075137727,0.073465041,0.084554675,13.24243434,0.011472865,4.57249617,1.375864111
C6.6,60,Ulti,106.8805461,279.8320119,87.25416297,68.7727637,2179.354359,1.19973394,0.14703283,59366.90952,83.83987522,45.04335241,92.96911992,41456.05515,0.595548687,0.819857624,1.020271664,9.546085947,6.31722305,1.078469882,0.577514256,19.94020313,1.626678353,0.062438873,0.070309165,0.08549971,14.42180407,0.010380759,4.857349944,1.331230149
C6.7,70,Ulti,101.4192467,281.7108356,80.84823286,68.82617714,2125.555702,1.152545214,0.132742,57693.70999,82.42126914,44.4703491,92.30445592,41286.16651,0.566335475,0.788303543,1.0442235,10.92868566,6.49072248,1.123568837,0.532590094,19.18642333,1.32237651,0.025912061,0.06060786,0.080027563,13.57189545,0.010034469,4.70618244,1.219301417
C6.8,80,Ulti,108.6006457,302.2293193,83.45586581,76.14400436,2294.403662,1.189789464,0.139412045,67991.6617,95.76461528,50.13677736,83.11107897,47433.56593,0.607181048,0.783595804,0.863530904,9.133319702,7.431591013,1.18977153,0.519594794,21.86068893,1.566603747,0.023148942,0.074631017,0.083499781,16.03560535,0.010100449,5.219464298,1.423740726
C6.9,90,Ulti,92.81136442,256.3936854,70.8603847,72.20304138,2200.388724,1.055635048,0.14557753,62248.70031,90.3270004,48.28695747,82.05744099,44453.29109,0.556651732,0.824766196,0.791809782,8.390893188,7.405006953,1.184625973,0.440430418,19.61424016,1.485378984,0.008610719,0.055632333,0.076817641,14.01973455,0.009747543,5.029075525,1.240909296
C6.10,100,Ulti,100.9708828,259.6212954,76.04562963,67.31991516,2354.902562,1.120185884,0.151202624,70253.32922,100.4969849,53.36240989,85.31330932,48822.50126,0.601991347,0.94990019,0.914542605,8.987847378,7.847866773,1.295468048,0.480876733,22.60874761,1.679976373,0.021947506,0.067176012,0.08233688,16.50986899,0.011038852,5.671790887,1.426339377
C7.1,10,Ulti,90.93568158,221.160732,78.24512088,56.96036975,1977.433066,1.150391314,0.097574192,41301.0791,63.91072897,34.44606478,104.4168671,31299.58312,0.541920809,0.476448536,0.878184476,10.93899488,4.9394299,1.289254931,0.470662988,14.74606114,1.034203463,0.005592044,0.065488696,0.066281899,10.30809018,0.008387586,3.812561536,1.111501264
C7.2,20,Ulti,88.13340605,225.6520278,79.89867508,75.57757366,1852.684086,1.167596896,0.085515379,36086.58645,57.27648509,30.58836666,110.4747483,28268.00133,0.571714712,0.394941445,1.101221359,7.544599389,4.604628683,1.16416456,0.497594375,13.30521576,0.90242632,-0.03231082,0.126586402,0.067407877,9.12572784,0.007512263,3.328839508,0.928489674
C7.3,30,Ulti,104.7474172,243.7487983,88.30745471,60.22087487,2244.000591,1.35895263,0.120872679,50411.92836,74.44565645,40.4330549,108.3976441,36724.73424,0.634073265,0.628741836,0.894609017,9.609484566,5.771873394,1.383463373,0.560777228,17.93401249,1.187628585,-0.002287552,0.064154066,0.08311644,11.88162396,0.008863895,4.315903864,1.290421599
C7.4,40,Ulti,108.4440857,240.6561344,86.60936746,74.71826497,2255.2483,1.268800628,0.120236838,51676.62797,75.32198324,41.09165894,110.3037174,37296.92717,0.66005008,1.095546071,1.078445042,11.93913893,5.718559605,1.198623175,0.602097802,18.47172498,1.194034371,0.002679246,0.077408236,0.084472569,12.77210106,0.009966924,4.561246982,1.328206675
C7.5,50,Ulti,106.5907049,240.1276884,80.81008143,67.89624947,2340.237402,1.288166096,0.12295208,54256.62827,78.41835574,42.6498513,106.5599396,38826.3091,0.640340674,0.652001301,0.920428087,11.91912845,6.05845391,1.103749128,0.567436963,18.90091492,1.348555477,0.009051713,0.07036709,0.081047134,12.97701897,0.009584383,4.633482644,1.51322948
