soil_type,Mean_Ca,SD_Ca,Mean_P,SD_P,n
ADE,1306.36711401,399.9381857090004,1661.1117995,220.89759582849015,10
Ultisol,101.942939767,25.744562132328355,318.49612617,22.682546828781305,10
