Coordinate X,Coordinate Y,ID,Depth (cm),pH H2O,pH K2O,P (mg/dm3),K (mg/dm3),Na (mg/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),Al (cmolc/dm3),H+Al(cmolc/dm3),Fe (mg/dm3),Zn (mg/dm3),Mn (mg/dm3),Cu (mg/dm3)
808026,9640239.5,261,20,4.9,4.02,44,19,2,0.81,0.47,0.81,2.94,35,1.48,17.95,0.6
807946.1,9640336.8,1,40,4.71,3.98,31,14,2,0.46,0.08,1.27,5.97,42,0.47,2.19,0.21
807960.2,9640321,6,40,5.05,3.99,54,5,1,1.17,0.07,0.85,5.16,34,3.7,8.89,0.6
807986.8,9640272.5,11,40,5.07,4.1,61,2,1,0.66,0.21,0.53,5.21,38,0.51,2.28,0.31
807956.8,9640230.2,16,40,5.08,4.17,57,8,1,1.14,0.31,0.41,4.77,49,2.36,15.59,0.57
807927.4,9640186.8,21,40,5.13,4.11,136,3,1,0.36,0.08,1.05,5.21,29,1.65,4.56,1.18
807953.4,9640172.5,26,40,5.62,4.53,72,6,1,1.17,0.31,0,3.76,27,3.75,10.75,0.98
807901.9,9640201.6,31,40,5.02,4.05,78,4,2,0.67,0.19,1.19,4.29,33,1.9,5.74,0.78
807898.9,9640145.4,36,40,5.89,4.6,112,84,1,1.87,0.65,0,2.9,37,2.81,7.71,1.27
807840.7,9640153.4,41,40,4.97,3.91,158,10,3,1.09,0.06,0.98,3.51,32,7.58,19.8,1.97
807873.5,9640106.8,46,40,4.92,3.91,98,58,3,1.51,0.08,0.6,3.58,44,6.08,30.43,1.8
807859.7,9640087.6,51,40,5.6,4.53,682,17,11,4.34,0.43,0,3.43,37,19.66,16.11,3
807969,9640158.7,56,40,5.52,4.33,105,4,1,1.39,0.29,0,2.92,34,3.65,14.82,1.55
807998,9640199.8,61,40,4.8,4.04,47,5,1,0.26,0.17,1.08,4.04,51,0.53,3.17,0.21
807939.9,9640116.3,66,40,5.08,4.02,137,9,1,0.86,0.23,0.63,2.81,42,1.94,3.64,1.32
807909.3,9640072.3,71,40,5.14,4.15,123,8,1,1.52,0.57,0.4,3.75,38,2.84,12.31,0.8
807902.4,9640061.5,76,40,5.48,4.47,207,18,3,4.35,0.66,0.08,2.01,22,10.05,37.86,1.49
807952,9640047.1,81,40,5.66,4.62,248,11,3,3.7,0.65,0,3.73,20,7.58,14.48,1.5
807941,9640028.3,86,40,5.31,4.33,126,12,1,2.35,0.25,0.15,3.42,28,3.99,20.78,1.2
807985.7,9640011.1,91,40,5.69,4.68,362,25,6,4.62,0.93,0,3.61,29,12.05,50.5,1.47
807974.5,9639989.4,96,40,5.27,4.17,280,19,3,1.71,0.33,0.47,5.36,31,5.23,10.45,1.43
807975.3,9640084,101,40,5,3.88,136,7,2,1.4,0.16,0.68,3.98,80,1.86,4.27,1.66
808007.3,9640127.1,106,40,5.09,4.11,78,6,2,0.65,0.22,0.5,4.29,26,1.24,5.4,0.56
808034.1,9640168.2,111,40,5.17,4.1,41,6,1,0.52,0.19,0.66,4.29,41,0.36,3.77,0.24
808064.9,9640209.1,116,40,4.76,4.04,15,6,2,0.17,0.09,1.02,4.32,38,0.4,1.91,0.17
808104.4,9640180.2,121,40,4.6,3.95,24,4,1,0.14,0.02,1.44,4.32,78,0.25,1.37,0.25
808075.4,9640139.2,126,40,4.44,3.96,92,4,1,0.07,0.02,1.28,5.25,31,0.58,3.3,0.55
808046,9640097.3,131,40,5.54,4.31,57,5,1,1.42,0.71,0,3.55,22,5.48,11.51,0.5
808015.9,9640052.4,136,40,5.65,4.4,312,12,4,2.32,0.4,0,3.71,28,11.77,9.31,3.15
808057.2,9640023.2,141,40,5.03,3.98,145,11,1,0.66,0.21,0.87,6.58,33,4.37,6.38,1.39
808087.7,9640064.1,146,40,4.61,3.99,45,4,1,0.06,0.02,1.2,5.02,34,0.5,2.92,0.43
808029.6,9639981.6,151,40,5.26,4.05,213,6,2,1.35,0.29,0.66,5.84,34,4.04,7.29,2.56
808014.1,9639959.9,156,40,5.63,4.44,634,16,10,5.34,0.41,0,7.51,34,19.69,29.18,3.16
808114.4,9640107.1,161,40,4.82,4.07,40,5,1,0.1,0.07,1.12,2,57,0.16,2.8,0.25
808146.7,9640147.2,166,40,4.58,4.03,19,5,1,0.06,0.03,1.41,1.95,71,0.12,1.79,0.14
808174.3,9640128.7,171,40,4.42,3.95,9,6,1,0.07,0.03,1.48,3.91,144,0.14,1.26,0.14
808154.8,9640080.3,176,40,4.49,4.05,18,4,1,0.04,0.02,1.38,3.09,74,0.15,1.59,0.17
808127,9640038.3,181,40,4.33,3.59,50,47,7,0.11,0.15,1.92,5.74,203,0.79,2.52,0.37
808097,9639997.3,186,40,5.36,4.19,73,5,1,1.43,0.06,0.52,4.09,28,3.76,14.01,0.65
808136.5,9639965.2,191,40,5.16,4.12,104,7,1,0.66,0.2,0.56,3.23,54,3.11,7.95,0.58
808035.2,9639902.6,196,40,4.45,3.87,63,13,2,0.28,0.07,1.57,5.82,35,1.51,6.36,0.42
808167.7,9640007.5,201,40,5.03,4.02,61,6,1,0.68,0.32,0.9,3.8,31,4.83,10,0.93
808081.3,9639883.6,206,40,5.05,4.07,116,10,1,1.25,0.2,0.57,4.13,35,2.81,7.92,0.89
808071.9,9639870.9,211,40,4.72,3.98,121,6,1,0.57,0.16,1.03,4.46,40,2.52,5.97,0.82
808104.4,9639831.8,216,40,4.87,4.09,54,7,1,0.99,0.35,0.51,2.36,24,2.45,7.25,0.86
808119.5,9639853.8,221,40,5.59,5.42,108,25,1,1.54,0.5,0,2.24,33,3.53,7.58,0.78
808140.7,9639882.4,226,40,5.58,4.36,120,8,1,1.94,0.31,0,2.11,34,5.28,14.63,1.07
808151.2,9639807.1,231,40,5.11,4.19,105,15,1,1.04,0.37,0.23,1.98,73,9.29,7.41,1.1
808159.4,9639821.7,236,40,5.65,4.58,165,9,2,2.07,0.58,0,2.41,27,6.05,8.15,1.25
808181,9639856.4,241,40,5.65,4.47,99,10,2,3,0.27,0,4.36,20,9.88,14.09,1.02
808042,9639912,246,40,4.67,3.86,84,8,1,0.61,0.1,1.47,3.43,38,3.01,11.02,0.62
808070.4,9639956.3,251,40,5.45,4.06,271,10,2,2.21,0.42,0.48,3.05,44,6.64,9.99,2.57
808103.7,9639918.5,256,40,5.39,4.21,106,10,2,1.57,0.27,0.44,1.82,39,3.44,13.83,0.87
808026,9640239.5,261,40,5.01,4.04,52,4,1,0.63,0.08,0.82,2.21,30,0.58,4.48,0.43
807946.1,9640336.8,1,60,4.82,4.05,17,7,2,0.33,0.07,1.02,4.36,34,0.38,1.22,0.16
807960.2,9640321,6,60,5.15,4.08,96,2,1,0.92,0.04,0.38,4.01,35,0.96,2.7,0.42
807986.8,9640272.5,11,60,4.96,4.09,69,1,1,0.49,0.2,0.62,3.23,28,0.49,1.07,0.26
807956.8,9640230.2,16,60,5.02,4.07,93,1,1,0.32,0.18,0.52,1.86,27,0.85,0.59,0.23
807927.4,9640186.8,21,60,5.14,4.03,130,1,1,0.36,0.08,1.25,4.26,28,1.88,3.5,1.21
