Coordinate X,Coordinate Y,ID,Depth (cm),pH H2O,pH K2O,P (mg/dm3),K (mg/dm3),Na (mg/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),Al (cmolc/dm3),H+Al(cmolc/dm3),Fe (mg/dm3),Zn (mg/dm3),Mn (mg/dm3),Cu (mg/dm3)
807902.4,9640061.5,76,100,5.5,4.6,474,18,5,2.64,0.26,0,2.54,35,8.02,13.97,1.8
807952,9640047.1,81,100,5.23,4.41,213,25,2,1.27,0.29,0.07,1.68,26,2.21,4.65,1.1
807941,9640028.3,86,100,4.98,4.17,218,4,1,0.78,0.11,0.27,1.22,26,1.67,5.68,1
807985.7,9640011.1,91,100,5.55,4.58,173,7,2,1.75,0.39,0,2.89,28,6.94,12.44,2.46
807974.5,9639989.4,96,100,4.94,4.1,152,2,1,0.6,0.19,0.28,2,29,2.97,3.01,0.75
807975.3,9640084,101,100,5.03,4.16,254,4,2,0.8,0.12,0.22,4.5,25,1.04,1.26,0.63
808007.3,9640127.1,106,100,5.06,4.21,97,2,2,0.52,0.19,0.31,3.43,17,0.49,0.71,0.25
808034.1,9640168.2,111,100,4.51,4.06,32,2,1,0.11,0.08,0.88,2.77,14,0.26,0.37,0.13
808064.9,9640209.1,116,100,5.04,4.15,21,2,1,0.17,0.04,0.57,2.94,15,0.23,0.94,0.11
808104.4,9640180.2,121,100,4.74,4.03,29,2,1,0.07,0.02,1.02,3.84,22,0.37,0.57,0.26
808075.4,9640139.2,126,100,4.82,4.04,90,2,1,0.24,0.03,0.65,3.96,19,0.25,2.67,0.45
808046,9640097.3,131,100,5.45,4.35,133,2,1,0.85,0.15,0.2,3.32,23,1.01,2.31,0.96
808015.9,9640052.4,136,100,5.39,4.52,154,11,2,1.44,0.28,0.07,4.44,21,5.72,5.96,1.37
808057.2,9640023.2,141,100,5.13,4.23,121,5,1,0.88,0.13,0.23,3,21,3.02,2.45,0.94
808087.7,9640064.1,146,100,5.08,4.11,81,3,1,0.52,0.05,0.45,3.2,22,0.35,1.8,0.44
808029.6,9639981.6,151,100,5.18,4.36,172,3,1,0.72,0.25,0.13,3.17,17,2.33,1.84,0.82
808014.1,9639959.9,156,100,5.77,4.55,798,19,22,4.32,0.08,0,3.63,35,23.83,16.75,5
808114.4,9640107.1,161,100,4.86,4.15,42,2,1,0.09,0.07,0.83,1.02,16,0.12,0.53,0.15
808146.7,9640147.2,166,100,4.94,4.17,27,2,1,0.05,0.02,0.84,1.4,12,0.1,0.33,0.13
808174.3,9640128.7,171,100,4.84,4.17,11,2,1,0.04,0.02,0.91,1.35,17,0.12,0.31,0.1
808154.8,9640080.3,176,100,4.59,4.05,29,2,1,0.04,0.02,1.09,1.57,28,0.15,0.89,0.19
808127,9640038.3,181,100,4.16,3.97,34,4,1,0.08,0.04,1.66,2.71,52,1.94,2.43,0.25
808097,9639997.3,186,100,5.25,4.1,87,2,1,0.56,0.11,0.51,2.31,22,0.38,2.51,0.51
808136.5,9639965.2,191,100,5.24,4.3,85,2,1,0.47,0.39,0.13,2.49,22,0.43,1.6,0.33
808035.2,9639902.6,196,100,4.88,4.06,83,3,1,0.49,0.04,0.58,2.1,18,0.63,0.71,0.26
808167.7,9640007.5,201,100,5.2,4.3,102,2,1,0.79,0.14,0.21,2.05,20,1.03,1.35,0.51
808081.3,9639883.6,206,100,5.03,4.1,115,6,1,0.64,0.18,0.43,4.92,33,0.87,1.95,0.54
808071.9,9639870.9,211,100,4.82,3.95,296,6,2,0.57,0.11,1.16,5.87,36,2.65,5.4,2.11
808104.4,9639831.8,216,100,5.15,4.45,112,2,1,0.96,0.11,0.1,1.22,20,0.82,1.28,0.61
808119.5,9639853.8,221,100,5.18,4.28,123,8,1,0.84,0.26,0.17,1.32,23,1.69,1.51,0.5
808140.7,9639882.4,226,100,5.22,4.28,103,2,1,0.7,0.4,0.14,2.49,22,1.19,0.87,0.48
808151.2,9639807.1,231,100,5.15,4.37,162,6,2,0.95,0.25,0.08,1.86,26,3.14,1.8,0.54
808159.4,9639821.7,236,100,5.27,4.53,148,6,1,1.1,0.52,0.06,1.6,24,2.4,2.25,0.46
808181,9639856.4,241,100,5.71,4.63,101,2,1,1.21,0.2,0,0.78,24,0.94,1.64,0.43
808042,9639912,246,100,5.15,4.27,92,6,1,1.08,0.09,0.23,1.02,32,0.69,2.95,0.4
808070.4,9639956.3,251,100,4.9,4.07,55,2,1,0.46,0.04,0.67,3.75,25,0.41,1.23,0.28
808103.7,9639918.5,256,100,5.15,4.24,89,3,2,0.84,0.19,0.34,1.9,31,1.13,2.34,0.48
808026,9640239.5,261,100,5.4,4.36,161,5,1,1.32,0.17,0.14,2.19,31,2.63,3.77,1.36
